day,hour,operation
9,03:14,перешел в status CANCELED
9,03:14,перешел в status TEST_STOPPING
9,03:14,перешел в status CANCELED
9,03:14,перешел в status TEST_STOPPING
9,03:14,перешел в status CANCELED
9,03:15,запустил test
9,03:15,запустил test
9,03:15,запустил test
9,03:16,запустил test
9,03:16,стартовал grafana
9,03:16,стартовал grafana
9,03:16,стартовал grafana
9,03:16,стартовал grafana
9,03:16,перешел в status FINISHED
9,03:17,перешел в status TEST_STOPPING
9,03:17,перешел в status CANCELED
9,03:17,перешел в status TEST_STOPPING
9,03:17,перешел в status CANCELED
9,03:17,перешел в status TEST_STOPPING
9,03:17,перешел в status CANCELED
9,03:17,перешел в status TEST_STOPPING
9,03:17,перешел в status CANCELED
9,03:19,запустил test
9,03:19,запустил test
9,03:19,запустил test
9,03:19,запустил test
9,03:21,стартовал grafana
9,03:21,стартовал grafana
9,03:21,стартовал grafana
9,03:21,стартовал grafana
9,03:24,перешел в status TEST_STOPPING
9,03:24,перешел в status CANCELED
9,03:24,перешел в status TEST_STOPPING
9,03:24,перешел в status CANCELED
9,03:25,перешел в status TEST_STOPPING
9,03:25,перешел в status CANCELED
9,03:25,перешел в status TEST_STOPPING
9,03:25,перешел в status CANCELED
9,03:25,запустил test
9,03:25,запустил test
9,03:25,запустил test
9,03:25,запустил test
9,03:26,стартовал grafana
9,03:26,стартовал grafana
9,03:26,стартовал grafana
9,03:26,стартовал grafana
9,03:40,перешел в status TEST_STOPPING
9,03:40,перешел в status CANCELED
9,03:40,перешел в status TEST_STOPPING
9,03:40,перешел в status CANCELED
9,03:40,перешел в status TEST_STOPPING
9,03:40,перешел в status CANCELED
9,03:40,перешел в status TEST_STOPPING
9,03:40,перешел в status CANCELED
9,03:48,запустил test
9,03:48,стартовал grafana
9,03:51,перешел в status TEST_STOPPING
9,03:51,перешел в status CANCELED
9,03:52,запустил test
9,03:52,стартовал grafana
9,03:54,перешел в status TEST_STOPPING
9,03:54,перешел в status CANCELED
9,03:57,запустил test
9,03:57,запустил test
9,03:57,запустил test
9,03:57,стартовал grafana
